Type,Duration,X,Y,Color,SAMPLE,Ag,Ag Error,Al,Al Error,As,As Error,Au,Au Error,Ba,Ba Error,Bal,Bal Error,Bi,Bi Error,Br,Br Error,Ca,Ca Error,Cd,Cd Error,Cl,Cl Error,Co,Co Error,Cr,Cr Error,Cs,Cs Error,Cu,Cu Error,Fe,Fe Error,Hf,Hf Error,Hg,Hg Error,K,K Error,Mg,Mg Error,Mn,Mn Error,Mo,Mo Error,Nb,Nb Error,Ni,Ni Error,P,P Error,Pb,Pb Error,Pd,Pd Error,Rb,Rb Error,Re,Re Error,S,S Error,Sb,Sb Error,Sc,Sc Error,Se,Se Error,Si,Si Error,Sn,Sn Error,Sr,Sr Error,Ta,Ta Error,Te,Te Error,Th,Th Error,Ti,Ti Error,U,U Error,V,V Error,W,W Error,Zn,Zn Error,Zr,Zr Error
Mining,120.0,5.8,1.5,white,f22w,9.33,5.44,< LOD,1512.15,< LOD,5.54,< LOD,10.53,< LOD,90.28,688730.94,1763.42,< LOD,3.86,< LOD,2.96,301619.97,2126.52,16.4,10.18,1259.86,69.93,< LOD,35.86,< LOD,54.54,0,0,< LOD,27.59,194.54,59.34,0,0,0,0,344.12,156.6,< LOD,7906.8,< LOD,93.31,< LOD,2.07,< LOD,1.63,< LOD,55.07,< LOD,294.69,< LOD,5.24,< LOD,10.25,< LOD,1.5,0,0,1957.9,151.38,< LOD,31.43,0,0,< LOD,3.63,5536.25,451.16,< LOD,37.45,101.09,3.45,0,0,0,0,0,0,229.0,79.91,0,0,< LOD,32.66,< LOD,79.32,< LOD,13.05,< LOD,2.45
Mining,120.0,6.0,23.0,white,rghteyewt,31.6,5.96,< LOD,1796.78,< LOD,47.27,< LOD,17.85,145.31,55.6,769507.44,1669.45,< LOD,13.23,13.17,3.74,159442.0,1494.03,< LOD,11.46,2318.73,81.16,< LOD,61.39,< LOD,31.82,0,0,43812.2,454.89,2436.09,119.06,0,0,0,0,440.74,135.98,< LOD,7188.65,< LOD,128.9,< LOD,4.05,< LOD,2.49,< LOD,67.66,< LOD,347.39,856.01,30.02,< LOD,6.09,< LOD,1.52,0,0,13653.21,268.69,118.38,17.43,0,0,< LOD,6.13,5321.25,449.97,149.09,18.93,1228.59,18.98,0,0,0,0,0,0,239.93,45.68,0,0,< LOD,23.32,< LOD,100.4,< LOD,46.83,< LOD,8.91
Mining,120.0,8.5,14.0,white,c24wbelowyyellow,< LOD,6.31,< LOD,1877.02,< LOD,8.27,< LOD,10.55,< LOD,77.78,661870.56,1808.05,< LOD,4.19,4.29,1.8,329992.63,2178.38,< LOD,11.49,1222.54,58.14,< LOD,39.84,< LOD,36.24,0,0,< LOD,25.35,585.97,68.39,0,0,0,0,329.49,153.61,< LOD,6160.92,< LOD,100.7,< LOD,1.97,< LOD,1.53,< LOD,52.47,< LOD,231.31,< LOD,6.81,< LOD,5.19,< LOD,1.5,0,0,2494.17,133.75,< LOD,22.66,0,0,< LOD,3.61,2994.22,329.28,< LOD,20.15,197.75,4.71,0,0,0,0,0,0,272.88,85.34,0,0,< LOD,31.69,< LOD,77.47,< LOD,12.7,< LOD,2.95
Mining,120.0,3.1,7.1,yellow,b37y,< LOD,5.37,< LOD,846.52,16,5.37,< LOD,9.75,< LOD,62.21,858252.88,945.45,< LOD,4.05,< LOD,2.68,126243.8,1252.85,< LOD,8.8,1331.53,67.03,< LOD,79.79,< LOD,39.13,0,0,< LOD,28.22,7551.38,188.82,0,0,0,0,946.95,143.73,< LOD,4827.77,< LOD,110.36,< LOD,2.04,< LOD,1.68,< LOD,57.5,< LOD,252.84,< LOD,7.34,< LOD,4.44,< LOD,1.5,0,0,799.31,130.38,< LOD,16.84,0,0,< LOD,3.76,4538.75,370.67,< LOD,16.58,162.0,4.41,0,0,0,0,0,0,148.87,40.68,0,0,< LOD,28.08,< LOD,77.89,< LOD,16.57,< LOD,2.85
Mining,120.0,5.8,2.5,yellow,f16y,< LOD,5.64,3019.66,1458.36,32.83,7.15,< LOD,14.18,< LOD,122.95,802877.13,1492.3,< LOD,5.69,3.99,2.41,140814.97,1516.52,< LOD,10.68,3633.91,143.32,< LOD,96.55,33.51,21.65,0,0,< LOD,46.0,8254.41,230.25,0,0,0,0,1360.84,177.27,< LOD,14586.38,< LOD,143.2,< LOD,2.85,< LOD,2.32,< LOD,77.08,< LOD,600.01,< LOD,11.42,< LOD,5.27,< LOD,1.5,0,0,10714.84,367.32,< LOD,28.05,0,0,< LOD,5.75,28734.23,1154.22,< LOD,19.61,245.16,6.45,0,0,0,0,0,0,233.75,50.77,0,0,< LOD,28.69,< LOD,107.9,< LOD,18.73,< LOD,5.01
Mining,120.0,3.1,10.1,yellow,b13ylftofline,< LOD,8.2,< LOD,2014.91,10.96,4.85,< LOD,11.67,< LOD,79.06,784002.69,1406.03,< LOD,4.67,3.21,1.95,186235.86,1617.66,< LOD,11.51,5803.58,120.23,< LOD,87.62,36.99,20.91,0,0,< LOD,30.82,8561.42,209.98,0,0,0,0,1038.77,155.12,< LOD,7160.37,< LOD,116.63,< LOD,2.28,< LOD,1.82,< LOD,61.64,< LOD,367.88,< LOD,6.16,< LOD,5.91,< LOD,1.5,0,0,3482.85,197.2,< LOD,24.31,0,0,< LOD,4.35,10368.14,596.96,< LOD,29.62,212.71,5.36,0,0,0,0,0,0,239.25,55.35,0,0,< LOD,33.85,< LOD,88.34,< LOD,20.65,< LOD,4.29
Mining,120.0,3.5,6.5,yellow,b37yold,< LOD,7.02,< LOD,1932.31,7.67,4.87,< LOD,12.03,< LOD,145.58,661763.56,2068.04,< LOD,5.29,3.53,2.03,301701.0,2272.81,< LOD,14.06,4236.82,112.33,< LOD,79.34,56.72,28.44,0,0,< LOD,31.27,6099.26,184.19,0,0,0,0,1737.34,185.79,< LOD,9906.59,< LOD,123.73,< LOD,2.47,< LOD,1.99,< LOD,67.07,< LOD,410.95,< LOD,6.43,< LOD,7.11,< LOD,1.5,0,0,5451.71,229.05,< LOD,25.63,0,0,< LOD,4.26,18427.08,792.4,< LOD,29.18,214.09,5.57,0,0,0,0,0,0,274.55,85.37,0,0,< LOD,37.44,< LOD,94.76,< LOD,15.74,< LOD,3.68
Mining,120.0,3.9,10.8,yellow,b13yold,< LOD,7.06,< LOD,1590.64,14.34,5.37,< LOD,11.69,< LOD,65.39,767929.44,1439.85,< LOD,4.59,< LOD,2.87,195330.53,1623.54,< LOD,12.8,6824.75,113.66,< LOD,97.37,< LOD,33.64,0,0,< LOD,29.1,12818.82,248.4,0,0,0,0,1431.85,159.72,< LOD,6633.81,< LOD,111.89,< LOD,2.21,< LOD,1.78,< LOD,57.38,< LOD,318.2,< LOD,7.54,< LOD,4.92,< LOD,1.5,0,0,5125.39,188.65,< LOD,18.41,0,0,< LOD,4.02,9848.6,517.2,< LOD,20.1,245.62,5.63,0,0,0,0,0,0,396.15,59.72,0,0,< LOD,49.1,< LOD,82.88,< LOD,17.47,< LOD,3.51
Mining,120.0,8.5,14.3,yellow,c24ypattern,< LOD,6.63,< LOD,1547.11,28.49,5.74,< LOD,11.8,< LOD,89.69,632280.06,2042.97,< LOD,4.36,< LOD,2.93,332877.03,2332.05,< LOD,13.11,2727.89,83.54,< LOD,83.66,60.33,32.21,0,0,< LOD,28.54,8807.52,204.13,0,0,0,0,1847.71,198.31,< LOD,8142.41,< LOD,114.88,< LOD,2.1,< LOD,1.69,< LOD,58.03,< LOD,321.21,< LOD,8.58,< LOD,6.32,< LOD,1.5,0,0,4198.56,180.53,< LOD,28.19,0,0,< LOD,4.12,15287.5,643.02,< LOD,25.34,232.18,5.41,0,0,0,0,0,0,495.46,99.55,0,0,< LOD,57.3,< LOD,84.24,< LOD,14.26,< LOD,3.33
Mining,120.0,6.9,12.6,yellow,b5yo1d,< LOD,6.24,< LOD,1255.87,< LOD,6.31,< LOD,10.2,< LOD,67.1,836824.25,1020.27,< LOD,3.73,< LOD,2.48,141713.33,1281.05,< LOD,16.75,1695.48,83.15,< LOD,64.74,< LOD,25.15,0,0,< LOD,26.17,5285.79,152.64,0,0,0,0,587.7,132.07,< LOD,6473.49,< LOD,96.97,< LOD,1.89,< LOD,1.52,< LOD,51.97,< LOD,339.62,< LOD,5.45,< LOD,4.88,< LOD,1.5,0,0,1687,167.44,< LOD,18.48,0,0,< LOD,3.26,10774.2,595.75,< LOD,20.07,150.86,4.06,0,0,0,0,0,0,115.9,40.56,0,0,< LOD,20.45,< LOD,74.21,< LOD,11.98,< LOD,2.57
Mining,120.0,5.0,23.0,black,rghteyebk,35.27,7.56,< LOD,1750.94,< LOD,37.91,< LOD,20.1,130.48,67.04,899241.69,989.72,< LOD,10.36,< LOD,4.75,61906.36,1212.34,< LOD,14.8,4766.87,172.72,< LOD,91.49,< LOD,51.33,0,0,9284.59,174.29,4377.52,195.59,0,0,0,0,1076.53,247.91,< LOD,9852.16,< LOD,180.16,< LOD,3.83,< LOD,3.79,< LOD,101.15,3050.22,454.97,268.19,19.33,< LOD,7.02,< LOD,1.64,0,0,6720.6,359.37,123.38,21.44,0,0,< LOD,8.3,7054.43,781.97,161.12,23.62,956.86,17.71,0,0,0,0,0,0,831.3,68.19,0,0,< LOD,49.03,< LOD,143.75,< LOD,35.51,< LOD,9.76
Mining,120.0,2.4,13.3,black,c25bkwoman,< LOD,5.89,< LOD,1028.9,46.76,7.91,< LOD,12.1,< LOD,80.38,802243.5,1356.76,< LOD,5.38,3.49,2.26,163903.98,1529.02,< LOD,11.92,2183.13,79.58,< LOD,98.79,51.48,22.33,0,0,2549.12,67.6,10785.51,238.44,0,0,0,0,1934.62,173.72,8698.37,4714.56,< LOD,124.88,< LOD,2.45,< LOD,1.98,< LOD,63.51,< LOD,278.05,22.66,6.46,< LOD,5.92,1.61,1.0,0,0,1292.13,148.0,< LOD,26.23,0,0,< LOD,4.76,4772.55,405.73,< LOD,20.78,251.18,6.02,0,0,0,0,0,0,1247.0,69.53,0,0,< LOD,52.18,< LOD,93.7,< LOD,22.33,12.92,3.26
Mining,120.0,3.7,12.3,black,b2bkoldtop,< LOD,10.86,< LOD,2016.58,< LOD,7.49,< LOD,12.07,< LOD,83.58,795961.75,1406.63,< LOD,4.86,< LOD,2.99,169508.25,1609.54,< LOD,12.72,2801.67,106.69,< LOD,81.07,58.43,24.65,0,0,< LOD,52.89,6482.16,193.24,0,0,0,0,578.97,161.42,< LOD,8078.08,1066.84,131.45,< LOD,2.48,< LOD,2.04,< LOD,66.53,8562.29,396.82,< LOD,7.07,< LOD,6.32,< LOD,1.5,0,0,1000.54,189.21,< LOD,24.24,0,0,< LOD,4.74,5474.57,554.46,< LOD,30.87,190.08,5.24,0,0,0,0,0,0,8305.42,154.14,0,0,< LOD,79.57,< LOD,96.74,< LOD,16.81,< LOD,3.72
