Type,Duration,X,Y,Color,SAMPLE,Ag,Ag Error,Al,Al Error,As,As Error,Au,Au Error,Ba,Ba Error,Bal,Bal Error,Bi,Bi Error,Br,Br Error,Ca,Ca Error,Cd,Cd Error,Cl,Cl Error,Co,Co Error,Cr,Cr Error,Cs,Cs Error,Cu,Cu Error,Fe,Fe Error,Hf,Hf Error,Hg,Hg Error,K,K Error,Mg,Mg Error,Mn,Mn Error,Mo,Mo Error,Nb,Nb Error,Ni,Ni Error,P,P Error,Pb,Pb Error,Pd,Pd Error,Rb,Rb Error,Re,Re Error,S,S Error,Sb,Sb Error,Sc,Sc Error,Se,Se Error,Si,Si Error,Sn,Sn Error,Sr,Sr Error,Ta,Ta Error,Te,Te Error,Th,Th Error,Ti,Ti Error,U,U Error,V,V Error,W,W Error,Zn,Zn Error,Zr,Zr Error
Mining,120.0,5.8,1.5,white,f22w,9.33,5.44,,1512.15,,5.54,,10.53,,90.28,688730.94,1763.42,,3.86,,2.96,301619.97,2126.52,16.4,10.18,1259.86,69.93,,35.86,,54.54,0,0,,27.59,194.54,59.34,0,0,0,0,344.12,156.6,,7906.8,,93.31,,2.07,,1.63,,55.07,,294.69,,5.24,,10.25,,1.5,0,0,1957.9,151.38,,31.43,0,0,,3.63,5536.25,451.16,,37.45,101.09,3.45,0,0,0,0,0,0,229.0,79.91,0,0,,32.66,,79.32,,13.05,,2.45
Mining,120.0,6.0,23.0,white,rghteyewt,31.6,5.96,,1796.78,,47.27,,17.85,145.31,55.6,769507.44,1669.45,,13.23,13.17,3.74,159442.0,1494.03,,11.46,2318.73,81.16,,61.39,,31.82,0,0,43812.2,454.89,2436.09,119.06,0,0,0,0,440.74,135.98,,7188.65,,128.9,,4.05,,2.49,,67.66,,347.39,856.01,30.02,,6.09,,1.52,0,0,13653.21,268.69,118.38,17.43,0,0,,6.13,5321.25,449.97,149.09,18.93,1228.59,18.98,0,0,0,0,0,0,239.93,45.68,0,0,,23.32,,100.4,,46.83,,8.91
Mining,120.0,8.5,14.0,white,c24wbelowyyellow,,6.31,,1877.02,,8.27,,10.55,,77.78,661870.56,1808.05,,4.19,4.29,1.8,329992.63,2178.38,,11.49,1222.54,58.14,,39.84,,36.24,0,0,,25.35,585.97,68.39,0,0,0,0,329.49,153.61,,6160.92,,100.7,,1.97,,1.53,,52.47,,231.31,,6.81,,5.19,,1.5,0,0,2494.17,133.75,,22.66,0,0,,3.61,2994.22,329.28,,20.15,197.75,4.71,0,0,0,0,0,0,272.88,85.34,0,0,,31.69,,77.47,,12.7,,2.95
Mining,120.0,3.1,7.1,yellow,b37y,,5.37,,846.52,16.0,5.37,,9.75,,62.21,858252.88,945.45,,4.05,,2.68,126243.8,1252.85,,8.8,1331.53,67.03,,79.79,,39.13,0,0,,28.22,7551.38,188.82,0,0,0,0,946.95,143.73,,4827.77,,110.36,,2.04,,1.68,,57.5,,252.84,,7.34,,4.44,,1.5,0,0,799.31,130.38,,16.84,0,0,,3.76,4538.75,370.67,,16.58,162.0,4.41,0,0,0,0,0,0,148.87,40.68,0,0,,28.08,,77.89,,16.57,,2.85
Mining,120.0,5.8,2.5,yellow,f16y,,5.64,3019.66,1458.36,32.83,7.15,,14.18,,122.95,802877.13,1492.3,,5.69,3.99,2.41,140814.97,1516.52,,10.68,3633.91,143.32,,96.55,33.51,21.65,0,0,,46.0,8254.41,230.25,0,0,0,0,1360.84,177.27,,14586.38,,143.2,,2.85,,2.32,,77.08,,600.01,,11.42,,5.27,,1.5,0,0,10714.84,367.32,,28.05,0,0,,5.75,28734.23,1154.22,,19.61,245.16,6.45,0,0,0,0,0,0,233.75,50.77,0,0,,28.69,,107.9,,18.73,,5.01
Mining,120.0,3.1,10.1,yellow,b13ylftofline,,8.2,,2014.91,10.96,4.85,,11.67,,79.06,784002.69,1406.03,,4.67,3.21,1.95,186235.86,1617.66,,11.51,5803.58,120.23,,87.62,36.99,20.91,0,0,,30.82,8561.42,209.98,0,0,0,0,1038.77,155.12,,7160.37,,116.63,,2.28,,1.82,,61.64,,367.88,,6.16,,5.91,,1.5,0,0,3482.85,197.2,,24.31,0,0,,4.35,10368.14,596.96,,29.62,212.71,5.36,0,0,0,0,0,0,239.25,55.35,0,0,,33.85,,88.34,,20.65,,4.29
Mining,120.0,3.5,6.5,yellow,b37yold,,7.02,,1932.31,7.67,4.87,,12.03,,145.58,661763.56,2068.04,,5.29,3.53,2.03,301701.0,2272.81,,14.06,4236.82,112.33,,79.34,56.72,28.44,0,0,,31.27,6099.26,184.19,0,0,0,0,1737.34,185.79,,9906.59,,123.73,,2.47,,1.99,,67.07,,410.95,,6.43,,7.11,,1.5,0,0,5451.71,229.05,,25.63,0,0,,4.26,18427.08,792.4,,29.18,214.09,5.57,0,0,0,0,0,0,274.55,85.37,0,0,,37.44,,94.76,,15.74,,3.68
Mining,120.0,3.9,10.8,yellow,b13yold,,7.06,,1590.64,14.34,5.37,,11.69,,65.39,767929.44,1439.85,,4.59,,2.87,195330.53,1623.54,,12.8,6824.75,113.66,,97.37,,33.64,0,0,,29.1,12818.82,248.4,0,0,0,0,1431.85,159.72,,6633.81,,111.89,,2.21,,1.78,,57.38,,318.2,,7.54,,4.92,,1.5,0,0,5125.39,188.65,,18.41,0,0,,4.02,9848.6,517.2,,20.1,245.62,5.63,0,0,0,0,0,0,396.15,59.72,0,0,,49.1,,82.88,,17.47,,3.51
Mining,120.0,8.5,14.3,yellow,c24ypattern,,6.63,,1547.11,28.49,5.74,,11.8,,89.69,632280.06,2042.97,,4.36,,2.93,332877.03,2332.05,,13.11,2727.89,83.54,,83.66,60.33,32.21,0,0,,28.54,8807.52,204.13,0,0,0,0,1847.71,198.31,,8142.41,,114.88,,2.1,,1.69,,58.03,,321.21,,8.58,,6.32,,1.5,0,0,4198.56,180.53,,28.19,0,0,,4.12,15287.5,643.02,,25.34,232.18,5.41,0,0,0,0,0,0,495.46,99.55,0,0,,57.3,,84.24,,14.26,,3.33
Mining,120.0,6.9,12.6,yellow,b5yo1d,,6.24,,1255.87,,6.31,,10.2,,67.1,836824.25,1020.27,,3.73,,2.48,141713.33,1281.05,,16.75,1695.48,83.15,,64.74,,25.15,0,0,,26.17,5285.79,152.64,0,0,0,0,587.7,132.07,,6473.49,,96.97,,1.89,,1.52,,51.97,,339.62,,5.45,,4.88,,1.5,0,0,1687.0,167.44,,18.48,0,0,,3.26,10774.2,595.75,,20.07,150.86,4.06,0,0,0,0,0,0,115.9,40.56,0,0,,20.45,,74.21,,11.98,,2.57
Mining,120.0,5.0,23.0,black,rghteyebk,35.27,7.56,,1750.94,,37.91,,20.1,130.48,67.04,899241.69,989.72,,10.36,,4.75,61906.36,1212.34,,14.8,4766.87,172.72,,91.49,,51.33,0,0,9284.59,174.29,4377.52,195.59,0,0,0,0,1076.53,247.91,,9852.16,,180.16,,3.83,,3.79,,101.15,3050.22,454.97,268.19,19.33,,7.02,,1.64,0,0,6720.6,359.37,123.38,21.44,0,0,,8.3,7054.43,781.97,161.12,23.62,956.86,17.71,0,0,0,0,0,0,831.3,68.19,0,0,,49.03,,143.75,,35.51,,9.76
Mining,120.0,2.4,13.3,black,c25bkwoman,,5.89,,1028.9,46.76,7.91,,12.1,,80.38,802243.5,1356.76,,5.38,3.49,2.26,163903.98,1529.02,,11.92,2183.13,79.58,,98.79,51.48,22.33,0,0,2549.12,67.6,10785.51,238.44,0,0,0,0,1934.62,173.72,8698.37,4714.56,,124.88,,2.45,,1.98,,63.51,,278.05,22.66,6.46,,5.92,1.61,1.0,0,0,1292.13,148.0,,26.23,0,0,,4.76,4772.55,405.73,,20.78,251.18,6.02,0,0,0,0,0,0,1247.0,69.53,0,0,,52.18,,93.7,,22.33,12.92,3.26
Mining,120.0,3.7,12.3,black,b2bkoldtop,,10.86,,2016.58,,7.49,,12.07,,83.58,795961.75,1406.63,,4.86,,2.99,169508.25,1609.54,,12.72,2801.67,106.69,,81.07,58.43,24.65,0,0,,52.89,6482.16,193.24,0,0,0,0,578.97,161.42,,8078.08,1066.84,131.45,,2.48,,2.04,,66.53,8562.29,396.82,,7.07,,6.32,,1.5,0,0,1000.54,189.21,,24.24,0,0,,4.74,5474.57,554.46,,30.87,190.08,5.24,0,0,0,0,0,0,8305.42,154.14,0,0,,79.57,,96.74,,16.81,,3.72
Mining,120.0,3.0,12.2,black,b2bknewbttm,,5.86,,1208.9,,6.99,,11.56,,76.19,736387.94,1629.47,,4.43,,2.39,213885.34,1790.95,,11.07,1345.82,58.8,,101.96,57.4,30.36,0,0,,30.97,15123.57,273.96,0,0,0,0,942.36,173.17,6660.46,4098.36,440.26,101.84,,2.24,,1.92,,59.83,4499.07,216.17,,11.35,,5.42,,1.5,0,0,198.88,105.32,,23.56,0,0,,4.08,3602.1,321.5,,28.46,228.2,5.47,0,0,0,0,0,0,16624.29,242.73,0,0,,107.09,,85.46,,23.73,4.39,2.88
Mining,120.0,3.5,21.5,blue,h16bl,7.11,3.81,1424.59,654.44,153.93,18.75,,11.01,,100.88,767192.44,1296.76,,7.5,,2.95,180931.08,1418.45,,9.92,2320.91,66.02,,63.51,90.19,20.6,0,0,6362.63,91.19,6510.22,152.28,0,0,0,0,1490.43,144.26,,5261.57,,101.63,,1.67,,1.5,,45.63,,274.38,620.83,18.79,,4.49,,1.5,0,0,7056.13,178.07,,21.09,0,0,,3.16,24543.62,652.68,110.25,13.83,182.93,4.22,0,0,0,0,0,0,961.75,60.55,0,0,,30.98,,67.24,,18.96,,2.91
Mining,120.0,3.5,11.8,blue,b7bl,14.79,5.29,,1108.09,285.79,37.19,,17.19,,83.58,828822.25,1192.65,,14.92,,5.5,94693.46,1117.42,,20.38,7038.05,120.36,,69.79,450.36,26.14,0,0,15537.46,186.21,4572.13,148.48,0,0,0,0,1962.82,169.16,,6823.19,,111.97,,2.28,,1.91,,59.9,,541.11,1949.94,41.02,,6.19,,1.5,0,0,6521.48,211.54,,32.01,0,0,,5.2,29289.44,789.29,523.5,25.88,146.76,4.49,0,0,0,0,0,0,1519.92,61.4,0,0,,49.22,,93.16,62.71,20.81,,3.25
Mining,120.0,3.5,22.5,blue,h10bl,,16.24,10649.67,2583.57,17.22,6.64,,15.77,,205.09,617104.25,2872.03,,6.7,7.88,2.78,127810.77,1776.75,,26.7,16204.58,296.72,,196.28,246.39,48.69,0,0,,44.81,40690.41,581.58,0,0,0,0,1343.35,248.91,21885.27,13624.94,182.19,112.58,,3.14,,2.69,,87.31,4246.39,715.71,,8.94,,12.31,,1.5,0,0,97978.88,1141.71,,45.26,0,0,,6.97,37709.52,1530.4,,62.36,303.07,7.86,0,0,0,0,0,0,23552.98,360.26,0,0,,217.3,,124.21,40.14,15.15,,5.82
Mining,120.0,3.7,2.8,green,f14g,,6.58,2143.85,774.16,41.62,6.35,,7.95,,51.88,756620.94,1207.59,,3.68,,1.68,198073.56,1415.52,,11.86,3734.94,81.63,,45.61,,41.58,0,0,4287.55,66.9,3037.16,100.9,0,0,0,0,1919.33,148.98,,7281.02,,130.25,,1.5,,1.5,,40.0,373.1,214.32,41.91,5.53,,3.58,,1.5,0,0,10328.35,220.96,,18.13,0,0,,2.32,16606.16,608.18,,23.22,154.49,3.53,0,0,0,0,0,0,2614.5,96.42,0,0,,56.46,,56.26,22.64,10.55,,3.31
Mining,120.0,1.9,18.3,green,h27gnew,,5.56,,1882.98,10.69,4.99,,9.38,199.91,45.24,688903.88,1644.57,,4.0,30.42,2.79,187488.59,1548.85,,11.94,21410.24,240.76,,55.37,63.89,38.67,0,0,260.5,22.63,4025.88,125.54,0,0,0,0,430.56,151.38,,10491.27,184.08,81.8,,1.73,,1.5,,51.03,4345.88,458.97,17.27,4.93,,4.36,,1.5,0,0,66072.66,671.74,,17.14,0,0,,3.05,8279.06,719.08,,25.85,310.25,5.63,0,0,0,0,0,0,16321.08,309.15,0,0,,205.83,,67.64,28.53,9.28,,3.18
Mining,120.0,3.5,17.8,green,h34g,,8.14,1495.68,756.85,14.43,6.53,,9.32,123.49,45.58,748298.75,1386.6,,4.1,5.48,1.84,181507.39,1455.98,11.65,7.3,1141.5,64.03,131.57,40.25,289.07,31.74,0,0,644.2,30.54,2765.74,108.27,0,0,0,0,441.33,137.94,,6169.86,,120.82,,1.79,,1.5,,50.86,2632.44,271.85,51.21,6.55,,4.71,,1.5,0,0,33676.92,395.07,,24.18,0,0,,3.29,4544.38,446.16,,19.8,268.09,5.24,0,0,0,0,0,0,21837.42,281.04,0,0,,149.64,,67.43,32.3,9.79,,3.92
Mining,114.21,3.9,22.2,red,h10earl,,6.09,,1826.44,,21.36,,38.46,123.41,56.93,924760.69,740.49,,8.16,17.7,3.61,21461.15,678.55,102.83,13.06,3539.8,178.23,,178.59,,42.14,0,0,,48.67,30099.04,485.8,0,0,0,0,910.6,217.23,,12571.87,301.12,126.72,,5.69,,2.99,,96.15,,626.43,,16.05,,6.28,,1.52,0,0,1653.66,331.88,,23.07,0,0,,122.35,5319.89,802.95,,19.59,374.94,9.22,0,0,0,0,0,0,937.52,76.62,0,0,,57.48,,157.21,49.69,17.25,11.05,4.43
Mining,120.0,6.6,10.4,red,b16r,,9.43,3877.93,1100.07,20.94,7.26,,10.23,,81.13,720539.25,1663.25,,4.17,,3.45,206439.75,1717.54,16.95,9.21,5621.58,117.45,,91.84,49.44,29.05,0,0,144.96,22.9,11839.29,230.62,0,0,0,0,2577.89,195.03,,9051.2,,103.03,,2.01,,1.6,,55.13,,429.51,49.51,7.02,,6.14,,1.5,0,0,15284.86,311.06,,23.67,0,0,,3.48,24095.45,822.75,,22.95,172.92,4.5,0,0,0,0,0,0,1057.79,79.12,0,0,48.23,29.01,,77.73,,14.33,,2.92
Mining,120.0,5.5,23.5,red,h6r,,3.83,995.28,455.71,19.87,6.49,,29.91,78.83,38.65,894998.56,656.09,,4.47,13.13,2.28,34599.18,646.75,139.53,9.36,7360.74,97.2,,136.15,89.41,21.66,0,0,,23.72,41142.56,398.09,0,0,0,0,2130.37,155.76,,6748.41,,142.26,,1.7,,1.5,,49.21,,246.1,,18.27,,3.58,,1.5,0,0,5340.54,151.27,,15.55,0,0,175.92,8.19,10484.75,411.69,,15.83,290.44,5.5,0,0,0,0,0,0,2010.36,88.29,0,0,,63.44,,88.5,72.45,10.95,4.42,2.71
